,id,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,0,Giggetto al portico d'Ottavia,7.4,125,"Via del Portico d'Ottavia 21/a-22, 00186 Roma Italia",+39 06 686 1105,"{'dom': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo', 'Con musica dal vivo']",,"['Per vegetariani', 'Kosher']"
1,1,Il Giardino Romano,6.4,84,"Via del Portico d’Ottavia 18 Ghetto, 00186 Roma Italia",+39 06 6880 9661,"{'dom': ['12:00', '15:30'], 'lun': ['12:00', '15:30'], 'mar': ['12:00', '15:30'], 'gio': ['12:00', '15:30'], 'ven': ['12:00', '15:30'], 'sab': ['12:00', '15:30']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Ristorante di specialità romanesca e giudaico romanesca nel cuore della Roma antica e precisamente nel ghetto di Roma. I migliori carciofi alla Giudia e piatti della tradizione romana ed ebraica, oltre a servire piatti vegetariani, senza glutine, zuppe e degustazione di piatti medio-orientali.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
2,2,Nannarella,6.2,82,"Piazza di San Calisto 7, 7A, 00153 Roma Italia",+39 06 581 5378,"{'dom': ['11:30', '23:00'], 'lun': ['11:30', '23:30'], 'mar': ['11:30', '23:30'], 'mer': ['11:30', '23:30'], 'gio': ['11:30', '23:30'], 'ven': ['11:30', '0:00'], 'sab': ['11:30', '0:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Bar completo', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
3,3,Flavio Al Velavevodetto,6.1,66,"Via di Monte Testaccio, 97/99, 00153 Roma Italia",+39 06 574 4194,"{'dom': ['12:30', '15:00'], 'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']","Flavio al Velavevodetto è un'osteria che si dedica alla preparazione di piatti tradizionali della cucina romana ma anche italiana. L'ambiente è confortevole e familiare ed è in grado di accogliere molta gente che ha voglia di stare un po' in compagnia ed ha voglia di mangiare e bere bene. Inoltre ha a sua disposizione un ampio spazio aperto al coperto, dove mangiare con serenità e tranquillità. Il menù varia con la reperibilità e la stagionalità degli ingredienti. Con la carne, genuina e biologica, proveniente da un'azienda agricola bio, lo chef prepara ottime specialità di carne, ma nel ricco menù trovano posto anche piatti a base di pesce, pasta fatta in casa e dolci artigianali. Flavio Velavevodetto si trova in via Monte Testaccio, 97 a Roma.",['Per vegetariani']
4,4,Il Duca in Trastevere,6.0,97,"Vicolo Dé Cinque, 56, 00153 Roma Italia",+39 06 581 7706,"{'dom': ['12:30', '16:15'], 'mar': ['18:30', '0:00'], 'mer': ['12:30', '15:30'], 'gio': ['18:30', '0:00'], 'ven': ['18:30', '0:00'], 'sab': ['18:30', '0:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Al ristorante Il Duca in Trastevere potrete gustare squisiti piatti, tipici della tradizione romana realizzati con ingredienti di primissima qualità come il pecorino romano stagionato DOP, i carciofi freschi, il guanciale di Amatrice, e molto altro ancora, il tutto condito esclusivamente con lolio extravergine del Frantoio Cimini. Richiestissimi i taglieri di salumi artigianali marchigiani e il crudo di Sauris accompagnati dal prelibato pane artigianale di Pasta Madre ""Grande Impero"", con oltre 30 ore di lievitazione naturale. Tra le specialità proposte la carbonara, la carne alla griglia, gli abbacchi, la pasta fresca fatta a mano ogni giorni e, per i più golosi, prelibati dolci e biscotti preparati dallo chef.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
5,5,Zampagna,5.8,73,"Via Ostiense 179, 00135 Roma Italia",+39 06 574 2306,"{'dom': ['12:00', '16:00'], 'lun': ['12:00', '16:00'], 'mar': ['12:00', '16:00'], 'mer': ['12:00', '16:00'], 'gio': ['12:00', '16:00'], 'ven': ['12:00', '16:00'], 'sab': ['12:00', '16:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
6,6,Otello,5.8,64,"Via della Pelliccia 47/53 Trastevere, 00153 Roma Italia",+39 06 589 6848,"{'dom': ['11:30', '23:00'], 'lun': ['11:30', '23:30'], 'mar': ['11:30', '23:30'], 'mer': ['11:30', '23:30'], 'gio': ['11:30', '23:30'], 'ven': ['11:30', '0:00'], 'sab': ['11:30', '0:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Bar completo', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",Ristorante tipico Romano a Trastevere,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
7,7,La Taverna Del Ghetto,5.8,70,"Via Del Portico D'ottavia 7, 00186 Roma Italia",+39 06 6880 9771,"{'dom': ['11:30', '23:00'], 'lun': ['11:30', '23:00'], 'mar': ['11:30', '23:30'], 'mer': ['11:30', '23:00'], 'gio': ['11:30', '23:30'], 'ven': ['11:30', '23:30'], 'sab': ['11:30', '23:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Kosher']"
8,8,Sora Lella,5.7,28,"Via Ponte Quattro Capi 16 ISOLA TIBERINA, 00186 Roma Italia",+39 06 0316 4414,"{'lun': ['19:30', '22:45'], 'mar': ['19:30', '22:45'], 'mer': ['19:30', '22:45'], 'gio': ['19:30', '22:45'], 'ven': ['19:30', '22:45'], 'sab': ['19:30', '22:45']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni senza glutine']"
9,9,Il Ragno d'Oro,5.7,72,"Via Silla 26, 00192 Roma Italia",+39 06 321 2362,"{'lun': ['19:00', '23:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta carte di credito', 'Servizio al tavolo', 'Stile familiare']","L'osteria Ragno D'Oro vi accoglie con il calore di un ambiente famigliare e disinvolto, dove vi sentirete a casa sin dal primo momento. Che sia un pranzo di famiglia, un incontro tra vecchi amici o una cena di lavoro, sarete accolti con simpatia e serviti con attenzione. Vi offriamo il meglio della cucina Romana tradizionale, con alcune specialità rivisitate in chiave moderna. Parola d'ordine è qualità e freschezza: le nostre materie prime sono tutte genuine e di provenienza italiana. I dessert sono artigianali, preparati in casa dal nostro chef. La nostra carta dei vini contiene una selezione accurata di prodotti provenienti da diverse regioni italiane.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
