,Unnamed: 0,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,0,Lo Scopettaro,8.9,77,"Lungotevere Testaccio, 7, Roma Italia",+39 06 575 7912,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
1,1,Osteria La Sol Fa,7.7,37,"Via Germano Sommeiller 19 incrocio via Santa Croce in Gerusalemme, 00185 Roma Italia",+39 06 702 7996,"{'lun': ['12:30', '14:30'], 'mar': ['12:30', '14:30'], 'mer': ['12:30', '14:30'], 'gio': ['12:30', '14:30'], 'ven': ['12:30', '14:30'], 'sab': ['12:30', '14:30']}",€€-€€€,"['Consegna a domicilio', 'Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Diritto di tappo', 'Ammette i cani', 'Stile familiare', 'Ristoranti non fumatori']","Tra San Giovanni e Porta Maggiore c’è Santa Croce in Gerusalemme, e proprio lì che ce trovi la nostra Osteria. In cucina er coco Claudio e la brigata prepareno i classici della cucina romana, che lui ha imparato da mamma Carla (fija d’oste pure lei); in più, utilizzando i prodotti di stagione della regione, ogni giorno trovi ‘na ricetta diversa. In sala l’oste Flavio e il resto della cricca te aiutano a sceje e a fatte sentì a casa, in un ambiente informale dove papà Raimondo c’ha messo lo zampino nell’arredo. Co tre note se magna e se beve e se respira aria de famija!",['Opzioni senza glutine']
2,2,Checchino dal 1887,7.2,26,"Via di Monte Testaccio, 30, 00153 Roma Italia",+39065743816,"{'dom': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']","Il nostro ristorante di Roma offre la tipica cucina locale del quartiere Testaccio, con piatti della tradizione sia regionale che italiana, valorizzati da vini laziali. Troverete una selezione di più di 450 vini provenienti da Italia, Francia, California, spagna, Portogallo, Austria, Germania, Cile, Nuova Zelanda e Australia, in prevalenza vini rossi, in quanto la cucina si presta maggiormente all'abbinamento con questi ultimi; ampia selezione di mezze bottiglie di vini di qualità. La carta dei distillati, con ampia selezione italiana, presenta annate eccezionali di whisky, cognac, CALVADOS, BAS ARMAGNAC e rhum, proponendo quotidianamente la degustazione di particolari vini al bicchiere. La selezione ed il servizio sono affidati ai titolari, entrambi sommelier. Carrello dei formaggi con circa 20 tipologie.",
3,3,Trattoria Pennestri,7.2,31,"Via Giovanni da Empoli, 5 A pochi passi dalla Piramide di Caio Cestio, 00154 Roma Italia",+39 06 574 2418,"{'dom': ['12:00', '15:00'], 'mar': ['19:00', '23:30'], 'mer': ['19:00', '23:30'], 'gio': ['19:00', '23:30'], 'ven': ['12:00', '15:00'], 'sab': ['12:00', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Profumi, sapori e colori della cucina tradizionale romana ispirati dalla fantasia e dalla capacità di sperimentare reinventando i grandi classici. ""Passione, gusto, manipolazione, natura, contrasti, infanzia e poca serietà ove sia possibile.""","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
4,4,Da Bucatino,6.7,27,"Via Luca della Robbia 84, 00153 Roma Italia",+39 06 574 6886,"{'dom': ['12:00', '15:00'], 'mar': ['12:00', '15:00'], 'mer': ['12:00', '15:00'], 'gio': ['12:00', '15:00'], 'ven': ['12:00', '15:00'], 'sab': ['12:00', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta Discover', 'Accetta carte di credito', 'Servizio al tavolo']","Il ristorante Da Bucatino, situato nel cuore del rione Testaccio e arredato in maniera accogliente e curata, offre agli amanti della cucina romana l’occasione di gustare gli antichi sapori dei piatti tipici della tradizione. Qui la romanità domina fiera ogni angolo, le pareti sono un inno alla memoria e al ricordo, con foto e quadri che fermano gli istanti della storia di questo locale. Dal Bucatino troverete un ambiente caldo e accogliente e tante proposte culinarie della migliore tradizione romana e mediterranea.",['Per vegetariani']
5,5,La Gattabuia,6.5,29,"Via del Porto 1, 00153 Roma Italia",+39 06 584813,"{'dom': ['12:30', '15:15'], 'lun': ['19:00', '23:45'], 'mar': ['19:00', '23:45'], 'mer': ['19:00', '23:45'], 'gio': ['19:00', '23:45'], 'ven': ['19:00', '23:45'], 'sab': ['19:00', '23:45']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Situato nel cuore della vecchia Trastevere in una splendida taverna seicentesca La Gattabuia è un locale che si articola su tre sale tutte con volte, archi e mattoncini in cotto. La cura dell'arredamento, ricco di mobili d'epoca e oggetti antichi rende il locale accogliente e raffinato. Fra i tipici ristoranti trasteverini, La Gattabuia è sicuramente uno dei più famosi, situato tra vicoletti e piazzette di Trastevere, è facilmente raggiungibile. Il ristorante è stato ricavato dalle mura di un antico carcere dell'era papalina. L'ambiente è gradevole i colori naturali e riposanti. Ottimo il servizio che non ha nulla da invidiare ad un ristorante di lusso. I tavoli sono ben separati tra di loro, il menu è molto vario e sopratutto il menu è sempre giusto... insomma, una serata alla Gattabuia rimane sempre notevolmente impressa e quando ci pensi non vedi l'ora di tornarci. La cucina spazia da gustosissimi antipasti, fritti vegetali, grigliate di verdure, piatti tipici romani come carbonara, gricia, amatriciana, cacio e pepe, alle proposte dello chef, come gnocchetti al lardo di colonnata e patè di zucchine, strozzapreti funghi porcini e tartufo e rigatoni al sugo di coda. Eccezionali le carni alla griglia di provenienza argentina e danese, tagliate, filetti, grigliate e bistecche a peso. Ottima la trippa alla romana, la coda alla vaccinara e la coratella d'agnello. Le pizze in tutti i modi, rigorosamente cotte in un magnifico forno a legna. La cantina presenta una vasta ed accurata selezione di vini rossi suddivisi per regione con la particolarità di avere oltre ottanta etichette di vini laziali.","['Per vegetariani', 'Opzioni senza glutine']"
6,6,Agustarello a Testaccio,6.5,24,"Via Giovanni Branca 98, 00153 Roma Italia",+39 06 574 6585,"{'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta Mastercard', 'Accetta Visa', 'Accetta carte di credito', 'Servizio al tavolo']",,
7,7,Il Duca in Trastevere,6.4,33,"Vicolo Dé Cinque, 56, 00153 Roma Italia",+39 06 581 7706,"{'dom': ['12:30', '16:15'], 'mar': ['18:30', '0:00'], 'mer': ['12:30', '15:30'], 'gio': ['18:30', '0:00'], 'ven': ['18:30', '0:00'], 'sab': ['18:30', '0:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Al ristorante Il Duca in Trastevere potrete gustare squisiti piatti, tipici della tradizione romana realizzati con ingredienti di primissima qualità come il pecorino romano stagionato DOP, i carciofi freschi, il guanciale di Amatrice, e molto altro ancora, il tutto condito esclusivamente con lolio extravergine del Frantoio Cimini. Richiestissimi i taglieri di salumi artigianali marchigiani e il crudo di Sauris accompagnati dal prelibato pane artigianale di Pasta Madre ""Grande Impero"", con oltre 30 ore di lievitazione naturale. Tra le specialità proposte la carbonara, la carne alla griglia, gli abbacchi, la pasta fresca fatta a mano ogni giorni e, per i più golosi, prelibati dolci e biscotti preparati dallo chef.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
8,8,Zampagna,6.4,26,"Via Ostiense 179, 00135 Roma Italia",+39 06 574 2306,"{'dom': ['12:00', '16:00'], 'lun': ['12:00', '16:00'], 'mar': ['12:00', '16:00'], 'mer': ['12:00', '16:00'], 'gio': ['12:00', '16:00'], 'ven': ['12:00', '16:00'], 'sab': ['12:00', '16:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
9,9,Sora Lella,6.3,18,"Via Ponte Quattro Capi 16 ISOLA TIBERINA, 00186 Roma Italia",+39 06 0316 4414,"{'lun': ['19:30', '22:45'], 'mar': ['19:30', '22:45'], 'mer': ['19:30', '22:45'], 'gio': ['19:30', '22:45'], 'ven': ['19:30', '22:45'], 'sab': ['19:30', '22:45']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni senza glutine']"
