,id,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,0,Osteria Bonelli,8.7,109,"Viale Dell'Acquedotto Alessandrino 172-174, 00177 Roma Italia",+39 329 863 3077,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
1,1,Lo Scopettaro,8.3,164,"Lungotevere Testaccio, 7, Roma Italia",+39 06 575 7912,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
2,2,La Fraschetta di Castel Sant'angelo,8.3,147,"Via del Banco di Santo Spirito 20, 00186 Roma Italia",+39 06 6830 7661,"{'lun': ['12:00', '23:00'], 'mar': ['12:00', '23:00'], 'mer': ['12:00', '23:00'], 'gio': ['12:00', '23:00'], 'ven': ['12:00', '23:00'], 'sab': ['12:00', '23:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","La Fraschetta è un posto del cuore, dove la tradizione romana regna sovrana. Siamo un gruppo di giovani appassionati al nostro lavoro, cerchiamo di far sentire a casa i nostri clienti deliziandoli con una cucina genuina.",['Per vegetariani']
3,3,Osteria La Sol Fa,7.9,84,"Via Germano Sommeiller 19 incrocio via Santa Croce in Gerusalemme, 00185 Roma Italia",+39 06 702 7996,"{'lun': ['12:30', '14:30'], 'mar': ['12:30', '14:30'], 'mer': ['12:30', '14:30'], 'gio': ['12:30', '14:30'], 'ven': ['12:30', '14:30'], 'sab': ['12:30', '14:30']}",€€-€€€,"['Consegna a domicilio', 'Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Diritto di tappo', 'Ammette i cani', 'Stile familiare', 'Ristoranti non fumatori']","Tra San Giovanni e Porta Maggiore c’è Santa Croce in Gerusalemme, e proprio lì che ce trovi la nostra Osteria. In cucina er coco Claudio e la brigata prepareno i classici della cucina romana, che lui ha imparato da mamma Carla (fija d’oste pure lei); in più, utilizzando i prodotti di stagione della regione, ogni giorno trovi ‘na ricetta diversa. In sala l’oste Flavio e il resto della cricca te aiutano a sceje e a fatte sentì a casa, in un ambiente informale dove papà Raimondo c’ha messo lo zampino nell’arredo. Co tre note se magna e se beve e se respira aria de famija!",['Opzioni senza glutine']
4,4,Impiccetta,7.4,77,"Via dei Fienaroli, 7, 00153 Roma Italia",+39 389 698 3657,"{'dom': ['12:00', '15:00'], 'mar': ['12:00', '15:00'], 'mer': ['12:00', '15:00'], 'gio': ['12:00', '15:00'], 'ven': ['12:00', '15:00'], 'sab': ['12:00', '15:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', 'Buffet', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta Mastercard', 'Accetta Visa', 'Accetta carte di credito', 'Servizio al tavolo']","Il Ristorante Impiccetta offre, in un ambiente confortevole e familiare, ottima cucina tradizionale romana. La passione e la romanità della famiglia che gestisce il ristorante rendono i piatti della tradizione assolutamente speciali: tonnarelli cacio e pepe o alla gricia, spaghetti alla carbonara, pajata e pasta all'amatriciana: ma oltre questo è possibile gustare molti altri piatti dal ricco menù che i clienti potranno scoprire.",['Per vegetariani']
5,5,Dar Bruttone,7.0,94,"Via Taranto 118, 00182 Roma Italia",+39 06 8902 4870,"{'dom': ['12:30', '15:00'], 'lun': ['19:30', '22:30'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', 'Posti a sedere', 'Parcheggio in strada', 'Area parcheggio gratuita', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani']","Siamo un'osteria di cucina tipica romana. Dall'amatriciana alla cacio e pepe, dalla trippa ai salti in bocca: qui troverete le ricette di una volta!","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
6,6,Trattoria Cecio,7.0,95,"Via Principe Amedeo, 104, 00185 Roma Italia",+39 06 446 4991,"{'dom': ['12:00', '14:45'], 'lun': ['12:00', '14:45'], 'mar': ['12:00', '14:45'], 'mer': ['12:00', '14:45'], 'gio': ['12:00', '14:45'], 'ven': ['12:00', '14:45'], 'sab': ['12:00', '14:45']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
7,7,Da Enzo Al 29,6.9,61,"Via Dei Vascellari 29, 00153 Roma Italia",+39 06 581 2260,"{'lun': ['12:15', '15:00'], 'mar': ['12:15', '15:00'], 'mer': ['12:15', '15:00'], 'gio': ['12:15', '15:00'], 'ven': ['12:15', '15:00'], 'sab': ['12:15', '15:00']}",€€-€€€,"[""Tavoli all'esterno"", 'Posti a sedere', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
8,8,Flavio Al Velavevodetto,6.8,57,"Via di Monte Testaccio, 97/99, 00153 Roma Italia",+39 06 574 4194,"{'dom': ['12:30', '15:00'], 'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']","Flavio al Velavevodetto è un'osteria che si dedica alla preparazione di piatti tradizionali della cucina romana ma anche italiana. L'ambiente è confortevole e familiare ed è in grado di accogliere molta gente che ha voglia di stare un po' in compagnia ed ha voglia di mangiare e bere bene. Inoltre ha a sua disposizione un ampio spazio aperto al coperto, dove mangiare con serenità e tranquillità. Il menù varia con la reperibilità e la stagionalità degli ingredienti. Con la carne, genuina e biologica, proveniente da un'azienda agricola bio, lo chef prepara ottime specialità di carne, ma nel ricco menù trovano posto anche piatti a base di pesce, pasta fatta in casa e dolci artigianali. Flavio Velavevodetto si trova in via Monte Testaccio, 97 a Roma.",['Per vegetariani']
9,9,Piccolo Arancio,6.8,84,"Vicolo Scanderbeg 112 Fontana Di Trevi, 00187 Roma Italia",+39 06 678 6139,"{'dom': ['12:00', '15:30'], 'mar': ['12:00', '15:30'], 'mer': ['12:00', '15:30'], 'gio': ['12:00', '15:30'], 'ven': ['12:00', '15:30'], 'sab': ['12:00', '15:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Posizionato tra il Quirinale e Fontana di Trevi, è un locale accogliente con una lunga tradizione di famiglia, che ha conservato la cura e l’amore per i piatti tipici della cucina romana, rivisitandoli e riproponendoli in chiave moderna.","['Per vegetariani', 'Opzioni vegane']"
