,id,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,0,Dar Filettaro a Santa Barbara,7.8,99,"Largo dei Librari, 88, 00186 Roma Italia",+39 06 686 4018,"{'lun': ['17:00', '22:30'], 'mar': ['17:00', '22:30'], 'mer': ['17:00', '22:30'], 'gio': ['17:00', '22:30'], 'ven': ['17:00', '22:30'], 'sab': ['17:00', '22:30']}",€,"['Da asporto', 'Posti a sedere', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,
1,1,L'Osteria degli Avvocati,7.4,120,"Via Aurelia, 74/78, 00165 Roma Italia",+39 351 988 5897,"{'dom': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Pagamenti digitali', 'Accetta carte di credito', 'Servizio al tavolo']","LOsteria degli Avvocati è un locale genuino con una cucina semplice e senza artifici a due passi da San Pietro. Fondato nel 2020 quando Lorenzo Giacco e Adele De Quattro decidono di lasciare la loro carriera di avvocati per realizzare il sogno di gestire un locale e presentare la propria idea di cucina. Qui la cucina è un'arte e l'autenticità è la regola d'oro. I piatti sono una celebrazione della materia prima, con il massimo rispetto per gli ingredienti che si basano sulla stagionalità e sulla cucina del territorio laziale. Benvenuti nel nostro locale genuino, dove la cucina semplice è la protagonista indiscussa. Qui da noi, crediamo che i piaceri della tavola risiedano nella freschezza degli ingredienti e nella preparazione artigianale. Ogni piatto è pensato per esaltare i sapori autentici e genuini, senza fronzoli superflui. Dalle zuppe fumanti ai piatti di pasta fatta in casa, ogni boccone è un'esperienza di gusto che riconnette con le tradizioni culinarie più autentiche.","['Per vegetariani', 'Opzioni vegane']"
2,2,Poldo e Gianna Osteria,7.3,116,"Vicolo Rosini 6/7, 00186 Roma Italia",+39 06 689 3499,"{'dom': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani']","Una cucina semplice, alla ricerca di sapori genuini ormai dimenticati. L'utilizzo di materie prime ed alimenti ricercati nel rispetto della loro stagionalità. Far rivivere i piatti della tradizione della nostra Regione. Una cucina che si pone come obiettivo il rispetto dei prodotti, dei produttori, dell'ambiente e dei nostri ospiti.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
3,3,Aroma Osteria Flaminio,6.5,84,"Lungotevere Flaminio, 62 D, 00196 Roma Italia",+39 06 3265 1751,"{'dom': ['11:00', '15:00'], 'lun': ['11:00', '15:00'], 'mar': ['11:00', '15:00'], 'mer': ['11:00', '15:00'], 'gio': ['11:00', '15:00'], 'ven': ['11:00', '15:00'], 'sab': ['11:00', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Aroma Osteria Flaminio è un piccolo ed accogliente ristorante osteria di Roma, che propone un interessante menù di specialità romane in chiave rivisitata, con proposte sempre nuove di carne e pesce, con il baccalà come protagonista principale. Il ristorante si contraddistingue per l' altissima qualità dei suoi prodotti e delle materie prime e dagli abbinamenti molto particolari nella preparazione impeccabile dei piatti. La carta dei vini è ampia ed organizzata in base alla regione di provenienza. Locale carino e gradevole, dove il cliente è accolto da un servizio cordiale e gentile e dall'ottimo rapporto qualità/prezzo.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
4,4,Ristorante All'Oro,6.3,24,"Via Giuseppe Pisanelli 25 Piazza del Popolo, 00196 Roma Italia",+39 06 9799 6907,"{'dom': ['12:45', '14:45'], 'lun': ['19:00', '23:00'], 'mar': ['19:00', '23:00'], 'mer': ['19:00', '23:00'], 'gio': ['19:00', '23:00'], 'ven': ['19:00', '23:00'], 'sab': ['12:45', '14:45']}",€€€€,"['Prenotazioni', 'Cena in sala privata', 'Posti a sedere', 'Area parcheggio gratuita', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Bar completo', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Ristorante con una stella michelin, situato al centro di Roma vicino Piazza del Popolo, L'estate è possibile prendere un aperitivo in terrazza con una vista spettacolare. Cucina Tradizional Contemporanea","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
5,5,Grappolo d'oro,6.0,29,"Piazza della Cancelleria 80, 00186 Roma Italia",+39 06 689 7080,"{'dom': ['12:45', '15:00'], 'lun': ['12:45', '15:00'], 'mar': ['12:45', '15:00'], 'mer': ['12:45', '15:00'], 'gio': ['12:45', '15:00'], 'ven': ['12:45', '15:00'], 'sab': ['12:45', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Accetta carte di credito', 'Servizio al tavolo', 'Stile familiare', 'Ristoranti non fumatori']","Osteria ""Slow Food""","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
6,6,Acciuga,6.0,9,"Via Vodice 25, 00195 Roma Italia",+39 06 372 3395,"{'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Opzioni senza glutine']
7,7,Aroma Osteria,6.0,61,"Via della Farnesina, 91, 00135 Roma Italia",+39 06 3321 8763,"{'dom': ['12:30', '15:00'], 'mar': ['12:30', '14:45'], 'mer': ['12:30', '14:45'], 'gio': ['12:30', '14:45'], 'ven': ['12:30', '14:45'], 'sab': ['12:30', '14:45']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Diritto di tappo', 'Ammette i cani', 'Stile familiare']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
8,8,Casa Prati,5.9,50,"Via Giovanni Pierluigi da Palestrina 41/43, 00193 Roma Italia",+39 06 4555 0796,"{'dom': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito']","Il nome “Casa Prati” nasce dall’intento di voler far vivere ai nostri clienti un’atmosfera accogliente che solo un salotto di casa può regalare. A farla da padrone sarà ovviamente la nostra cucina, il cui punto di forza risiede nella ricerca delle materie prime di grande qualità e ingredienti altamente selezionati, che contribuiranno ad esaltare i sapori che la cucina romana sa regalare.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
9,9,Pizzeria Ai Marmi,5.9,41,"Viale Trastevere 53 (tra Piazza Sonnino e Piazza Mastai), 00153 Roma Italia",+39 06 580 0919,"{'dom': ['18:30', '2:00'], 'lun': ['18:30', '2:00'], 'mar': ['18:30', '2:00'], 'gio': ['18:30', '2:20'], 'ven': ['18:30', '2:20'], 'sab': ['18:30', '2:00']}",€,"['Da asporto', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Serve alcolici', 'Vino e birra', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
