,Unnamed: 0,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,0,Lo Scopettaro,8.6,91,"Lungotevere Testaccio, 7, Roma Italia",+39 06 575 7912,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
1,1,Osteria La Sol Fa,6.7,37,"Via Germano Sommeiller 19 incrocio via Santa Croce in Gerusalemme, 00185 Roma Italia",+39 06 702 7996,"{'lun': ['12:30', '14:30'], 'mar': ['12:30', '14:30'], 'mer': ['12:30', '14:30'], 'gio': ['12:30', '14:30'], 'ven': ['12:30', '14:30'], 'sab': ['12:30', '14:30']}",€€-€€€,"['Consegna a domicilio', 'Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Diritto di tappo', 'Ammette i cani', 'Stile familiare', 'Ristoranti non fumatori']","Tra San Giovanni e Porta Maggiore c’è Santa Croce in Gerusalemme, e proprio lì che ce trovi la nostra Osteria. In cucina er coco Claudio e la brigata prepareno i classici della cucina romana, che lui ha imparato da mamma Carla (fija d’oste pure lei); in più, utilizzando i prodotti di stagione della regione, ogni giorno trovi ‘na ricetta diversa. In sala l’oste Flavio e il resto della cricca te aiutano a sceje e a fatte sentì a casa, in un ambiente informale dove papà Raimondo c’ha messo lo zampino nell’arredo. Co tre note se magna e se beve e se respira aria de famija!",['Opzioni senza glutine']
2,2,Romanè,6.1,14,"Via Cipro 106 via Cipro 106, 00136 Roma Italia",+39 340 784 5281,"{'dom': ['12:00', '0:30'], 'lun': ['12:00', '0:30'], 'mar': ['12:00', '0:30'], 'mer': ['12:00', '0:30'], 'gio': ['12:00', '0:30'], 'ven': ['12:00', '0:30'], 'sab': ['12:00', '0:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Area parcheggio gratuita', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani', 'Ristoranti non fumatori']","Nasce Romanè: il primo ristorante di Stefano Callegari, il Re del Trapizzino.",['Opzioni vegane']
3,3,Trattoria Pennestri,6.0,25,"Via Giovanni da Empoli, 5 A pochi passi dalla Piramide di Caio Cestio, 00154 Roma Italia",+39 06 574 2418,"{'dom': ['12:00', '15:00'], 'mar': ['19:00', '23:30'], 'mer': ['19:00', '23:30'], 'gio': ['19:00', '23:30'], 'ven': ['12:00', '15:00'], 'sab': ['12:00', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Profumi, sapori e colori della cucina tradizionale romana ispirati dalla fantasia e dalla capacità di sperimentare reinventando i grandi classici. ""Passione, gusto, manipolazione, natura, contrasti, infanzia e poca serietà ove sia possibile.""","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
4,4,L'Osteria della Trippa,6.0,11,"Via Goffredo Mameli, 15 Trastevere, 00153 Roma Italia",+39 06 4555 4475,"{'dom': ['12:00', '14:30'], 'lun': ['19:00', '22:30'], 'mer': ['19:00', '22:30'], 'gio': ['18:30', '22:30'], 'ven': ['12:00', '14:30'], 'sab': ['12:00', '14:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Serve alcolici', 'Servizio al tavolo']",,
5,5,Taverna Romana,5.8,23,"Via della Madonna Dei Monti 79, 00184 Roma Italia",+39 06 474 5325,"{'dom': ['12:30', '15:00'], 'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Serve alcolici', 'Posti a sedere', 'Servizio al tavolo', 'Prenotazioni', 'Accetta carte di credito', 'Seggioloni disponibili', 'Connessione Wi-Fi gratuita', 'Pagamenti digitali']",,['Per vegetariani']
6,6,La Gattabuia,5.8,22,"Via del Porto 1, 00153 Roma Italia",+39 06 584813,"{'dom': ['12:30', '15:15'], 'lun': ['19:00', '23:45'], 'mar': ['19:00', '23:45'], 'mer': ['19:00', '23:45'], 'gio': ['19:00', '23:45'], 'ven': ['19:00', '23:45'], 'sab': ['19:00', '23:45']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Situato nel cuore della vecchia Trastevere in una splendida taverna seicentesca La Gattabuia è un locale che si articola su tre sale tutte con volte, archi e mattoncini in cotto. La cura dell'arredamento, ricco di mobili d'epoca e oggetti antichi rende il locale accogliente e raffinato. Fra i tipici ristoranti trasteverini, La Gattabuia è sicuramente uno dei più famosi, situato tra vicoletti e piazzette di Trastevere, è facilmente raggiungibile. Il ristorante è stato ricavato dalle mura di un antico carcere dell'era papalina. L'ambiente è gradevole i colori naturali e riposanti. Ottimo il servizio che non ha nulla da invidiare ad un ristorante di lusso. I tavoli sono ben separati tra di loro, il menu è molto vario e sopratutto il menu è sempre giusto... insomma, una serata alla Gattabuia rimane sempre notevolmente impressa e quando ci pensi non vedi l'ora di tornarci. La cucina spazia da gustosissimi antipasti, fritti vegetali, grigliate di verdure, piatti tipici romani come carbonara, gricia, amatriciana, cacio e pepe, alle proposte dello chef, come gnocchetti al lardo di colonnata e patè di zucchine, strozzapreti funghi porcini e tartufo e rigatoni al sugo di coda. Eccezionali le carni alla griglia di provenienza argentina e danese, tagliate, filetti, grigliate e bistecche a peso. Ottima la trippa alla romana, la coda alla vaccinara e la coratella d'agnello. Le pizze in tutti i modi, rigorosamente cotte in un magnifico forno a legna. La cantina presenta una vasta ed accurata selezione di vini rossi suddivisi per regione con la particolarità di avere oltre ottanta etichette di vini laziali.","['Per vegetariani', 'Opzioni senza glutine']"
7,7,Trattoria Cotto e Magnato,5.7,32,"Via Cornelio Magni, 27 Zona Eur Colombo, 00154 Roma Italia",+39 06 6452 1295,"{'dom': ['19:30', '23:00'], 'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta carte di credito', 'Servizio al tavolo']",,
8,8,Il Duca in Trastevere,5.7,19,"Vicolo Dé Cinque, 56, 00153 Roma Italia",+39 06 581 7706,"{'dom': ['12:30', '16:15'], 'mar': ['18:30', '0:00'], 'mer': ['12:30', '15:30'], 'gio': ['18:30', '0:00'], 'ven': ['18:30', '0:00'], 'sab': ['18:30', '0:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Al ristorante Il Duca in Trastevere potrete gustare squisiti piatti, tipici della tradizione romana realizzati con ingredienti di primissima qualità come il pecorino romano stagionato DOP, i carciofi freschi, il guanciale di Amatrice, e molto altro ancora, il tutto condito esclusivamente con lolio extravergine del Frantoio Cimini. Richiestissimi i taglieri di salumi artigianali marchigiani e il crudo di Sauris accompagnati dal prelibato pane artigianale di Pasta Madre ""Grande Impero"", con oltre 30 ore di lievitazione naturale. Tra le specialità proposte la carbonara, la carne alla griglia, gli abbacchi, la pasta fresca fatta a mano ogni giorni e, per i più golosi, prelibati dolci e biscotti preparati dallo chef.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
9,9,Fraschetta Gourmet,5.7,22,"Via Nomentana 1111, 00137 Roma Italia",+39 335 649 4966,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Servizio al tavolo']","Location suggestiva situata in una scuola costruita nel 1800,dove è possibile mangiare al fianco del suo antico fontanile o sui caratteristici tavoli in pietra rivestiti da ceramiche ornamentali","['Per vegetariani', 'Opzioni senza glutine']"
