,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,Dar Filettaro a Santa Barbara,8.10114083827417,57,"Largo dei Librari, 88, 00186 Roma Italia",+39 06 686 4018,"{'lun': ['17:00', '22:30'], 'mar': ['17:00', '22:30'], 'mer': ['17:00', '22:30'], 'gio': ['17:00', '22:30'], 'ven': ['17:00', '22:30'], 'sab': ['17:00', '22:30']}",€,"['Da asporto', 'Posti a sedere', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,
1,Lo Scopettaro,7.116174034650455,66,"Lungotevere Testaccio, 7, Roma Italia",+39 06 575 7912,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
2,La Fraschetta di Castel Sant'angelo,6.67760936648336,50,"Via del Banco di Santo Spirito 20, 00186 Roma Italia",+39 06 6830 7661,"{'lun': ['12:00', '23:00'], 'mar': ['12:00', '23:00'], 'mer': ['12:00', '23:00'], 'gio': ['12:00', '23:00'], 'ven': ['12:00', '23:00'], 'sab': ['12:00', '23:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","La Fraschetta è un posto del cuore, dove la tradizione romana regna sovrana. Siamo un gruppo di giovani appassionati al nostro lavoro, cerchiamo di far sentire a casa i nostri clienti deliziandoli con una cucina genuina.",['Per vegetariani']
3,Popina Trattoria,6.335801579862728,41,"Via Giovanni Verga 42, 00137 Roma Italia",+39 06 7249 9997,"{'dom': ['12:30', '15:00'], 'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani', 'Ristoranti non fumatori']",,['Opzioni vegane']
4,Grappolo d'oro,6.116936190730747,14,"Piazza della Cancelleria 80, 00186 Roma Italia",+39 06 689 7080,"{'dom': ['12:45', '15:00'], 'lun': ['12:45', '15:00'], 'mar': ['12:45', '15:00'], 'mer': ['12:45', '15:00'], 'gio': ['12:45', '15:00'], 'ven': ['12:45', '15:00'], 'sab': ['12:45', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Accetta carte di credito', 'Servizio al tavolo', 'Stile familiare', 'Ristoranti non fumatori']","Osteria ""Slow Food""","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
5,Trattoria da Teo,6.087797665712117,23,"Piazza dei Ponziani, 7, 00153 Roma Italia",+39 06 581 8355,"{'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']","Trattoria Da Teo si trova a Roma, nel cuore di Trastevere, dove si possono gustare lottima cucina romana, ma anche pesce e specialità di stagione, come il tartufo bianco e i funghi porcini. La conduzione è a carattere familiare. Teo e Tiziana selezionano con attenzione tutti i prodotti gastronomici e curano anche una piccola cantina. Gli appassionati della cucina romana saranno lieti di questa nuova sede più spaziosa con unampia terrazza esterna su una tipica piazzetta trasteverina. Per ulteriori informazioni, visitate la nostra Pagina Facebook ""Trattoria da Teo"".","['Per vegetariani', 'Opzioni vegane']"
6,Ditirambo Roma,6.067021785798855,17,"Piazza della Cancelleria, 74, 00186 Roma Italia",+39 06 687 1626,"{'dom': ['12:30', '15:30'], 'lun': ['18:50', '23:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']","A Campo de' Fiori nel cuore di Roma un delizioso ristorante che propone la gustosa cucina tradizionale italiana, con una buona cantina. Il ristorante ""Ditirambo"", situato in piazza della cancelleria 74 degusterà i vostri palati con la cucina Romana con i sapori di un tempo non dimenticando però loriginalità in ogni piatto.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
7,PIZZERIA OSTIENSE,6.064986744939671,30,"Via Ostiense 56 b/c, 00154 Roma Italia",+39 06 5730 5081,,€,"['Serve alcolici', 'Posti a sedere', 'Servizio al tavolo', 'Prenotazioni', 'Accetta carte di credito', 'Seggioloni disponibili', 'Connessione Wi-Fi gratuita', 'Pagamenti digitali']",,"['Per vegetariani', 'Opzioni vegane']"
8,il Marchese - Osteria Mercato Liquori,6.045631645316984,24,"Via di Ripetta 162, 00186 Roma Italia",+39 06 9021 8872,"{'dom': ['12:30', '0:00'], 'lun': ['12:30', '0:00'], 'mar': ['12:30', '0:00'], 'mer': ['12:30', '0:00'], 'gio': ['12:30', '0:00'], 'ven': ['12:30', '0:00'], 'sab': ['12:30', '0:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Serve alcolici', 'Bar completo', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","La tradizione romana incontra i trend internazionali, i piatti genuini si accompagnano a cocktail raffinati e il Carbonaro se ne va a braccetto con il Nobile in un luogo unico che contiene due anime opposte, questo è il Marchese!","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
9,Da Gino al Parlamento,6.045305671986382,37,"Vicolo Rosini 4, 00186 Roma Italia",+39 06 687 3434,"{'lun': ['13:00', '15:00'], 'mar': ['13:00', '15:00'], 'mer': ['13:00', '15:00'], 'gio': ['13:00', '15:00'], 'ven': ['13:00', '15:00'], 'sab': ['13:00', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Servizio al tavolo']",,['Per vegetariani']
