id,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,Dar Bruttone,9.082892349297447,692,"Via Taranto 118, 00182 Roma Italia",+39 06 8902 4870,"{'dom': ['12:30','15:00'], 'lun': ['19:30','22:30'], 'mar': ['12:30','15:00'], 'mer': ['12:30','15:00'], 'gio': ['12:30','15:00'], 'ven': ['12:30','15:00'], 'sab': ['12:30','15:00']}",€€-€€€,"['Da asporto','Prenotazioni','Posti a sedere','Parcheggio in strada','Area parcheggio gratuita','Seggioloni disponibili','Accessibile in sedia a rotelle','Serve alcolici','Vino e birra','Accetta carte di credito','Servizio al tavolo','Ammette i cani']","Siamo un'osteria di cucina tipica romana. Dall'amatriciana alla cacio e pepe, dalla trippa ai salti in bocca: qui troverete le ricette di una volta!","['Per vegetariani','Opzioni vegane','Opzioni senza glutine']"
1,Luciano Cucina Italiana - Roma,8.604024356207537,228,"Piazza del Teatro di Pompeo 18, 00186 Roma Italia",+39 06 5153 1465,"{'dom': ['12:15','15:00'], 'lun': ['12:15','15:00'], 'mar': ['12:15','15:00'], 'mer': ['12:15','15:00'], 'gio': ['12:15','15:00'], 'ven': ['12:15','15:00'], 'sab': ['12:15','15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere','Seggioloni disponibili','Serve alcolici','Connessione Wi-Fi gratuita','Accetta carte di credito','Servizio al tavolo']",,['Per vegetariani']
2,La Fraschetta di Castel Sant'angelo,8.343076482063823,589,"Via del Banco di Santo Spirito 20, 00186 Roma Italia",+39 06 6830 7661,"{'lun': ['12:00','23:00'], 'mar': ['12:00','23:00'], 'mer': ['12:00','23:00'], 'gio': ['12:00','23:00'], 'ven': ['12:00','23:00'], 'sab': ['12:00','23:00']}",€€-€€€,"['Da asporto','Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere','Parcheggio in strada','Seggioloni disponibili','Accessibile in sedia a rotelle','Serve alcolici','Connessione Wi-Fi gratuita','Accetta carte di credito','Servizio al tavolo']","La Fraschetta è un posto del cuore, dove la tradizione romana regna sovrana. Siamo un gruppo di giovani appassionati al nostro lavoro, cerchiamo di far sentire a casa i nostri clienti deliziandoli con una cucina genuina.",['Per vegetariani']
3,Roscioli,7.915045627721335,375,"Via dei Giubbonari, 21, 00186 Roma Italia",+39 06 687 5287,,€€-€€€,"['Da asporto','Prenotazioni','Posti a sedere','Serve alcolici','Bar completo','Accetta American Express','Accetta Mastercard','Accetta Visa','Pagamenti digitali','Accetta carte di credito','Servizio al tavolo']","Il Ristorante Salumeria Roscioli è una gastronomia polifunzionale, un ristorante atipico, un wine bar ricco e variegato, dove la cucina si basa sulla grande qualità della materia selezionata negli anni dai fratelli Roscioli e da uno staff attento e preparato. Il menù presenta primi e secondi piatti della tradizione e idee legate alla cucina nazionale, crudi di pesce del Mediterraneo e del Tirreno, selezioni di formaggi francesi o di Alpeggio della Penisola, suddivisi per tipologia e stagionatura, ma anche salumi spagnoli o di razza autoctona tagliati a mano.","['Per vegetariani','Opzioni vegane','Opzioni senza glutine']"
4,Eggs,7.869233764017805,257,"Via Natale del Grande 52 Trastevere, 00153 Roma Italia",+39 06 581 7281,"{'dom': ['12:00','23:00'], 'lun': ['12:00','23:00'], 'mar': ['12:00','23:00'], 'mer': ['12:00','23:00'], 'gio': ['12:00','23:00'], 'ven': ['12:00','23:00'], 'sab': ['12:00','23:00']}",€€-€€€,"['Da asporto','Prenotazioni','Posti a sedere','Serve alcolici','Vino e birra','Accetta American Express','Accetta Visa','Connessione Wi-Fi gratuita','Accetta carte di credito','Servizio al tavolo']","Un bistrot tutto dedicato alle uova biologiche (di gallina, ma anche di quaglia, oca, anatra, pesce) e alla Carbonara, con una Carta speciale che comprende oltre alla Classica, altre nove variazioni. Aperto dalla mattina alla sera, si mangia ai tavoli, al bancone vista cucina e take away. Ricca carta di vini, tra i quali una selezione di biologici e naturali",['Per vegetariani']
5,Osteria da Fortunata - Rinascimento,7.746533036667853,463,"Corso del Rinascimento 17 Zona Piazza Navona, 00186 Roma Italia",+39 06 3937 8791,"{'dom': ['12:00','1:00'], 'lun': ['12:00','1:00'], 'mar': ['12:00','1:00'], 'mer': ['12:00','1:00'], 'gio': ['12:00','1:00'], 'ven': ['12:00','1:00'], 'sab': ['12:00','1:00']}",€€-€€€,"['Prenotazioni','Posti a sedere','Serve alcolici','Servizio al tavolo']","Typical Rome Restaurant in the heart of Rome, handmade pasta, homemade desserts, high quality products.",
6,Nannarella,7.588370553452606,419,"Piazza di San Calisto 7, 7A, 00153 Roma Italia",+39 06 581 5378,"{'dom': ['11:30','23:00'], 'lun': ['11:30','23:30'], 'mar': ['11:30','23:30'], 'mer': ['11:30','23:30'], 'gio': ['11:30','23:30'], 'ven': ['11:30','0:00'], 'sab': ['11:30','0:00']}",€€-€€€,"['Da asporto','Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere','Seggioloni disponibili','Accessibile in sedia a rotelle','Serve alcolici','Bar completo','Connessione Wi-Fi gratuita','Accetta carte di credito','Servizio al tavolo']",,"['Per vegetariani','Opzioni vegane','Opzioni senza glutine']"
7,Osteria da Fortunata - Pellegrino,7.4958933937211345,428,"Via del Pellegrino, 11 Campo de' Fiori, 00186 Roma Italia",+39 06 6066 7391,"{'dom': ['12:00','0:00'], 'lun': ['12:00','0:00'], 'mar': ['12:00','0:00'], 'mer': ['12:00','0:00'], 'gio': ['12:00','0:00'], 'ven': ['12:00','0:00'], 'sab': ['12:00','0:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere','Seggioloni disponibili','Serve alcolici','Accetta carte di credito','Servizio al tavolo']",,['Per vegetariani']
8,Tonnarello Scala,7.465113950647863,410,"Piazza Della Scala 19 - 21, 00153 Roma Italia",+39 06 580 6404,"{'dom': ['11:30','23:45'], 'lun': ['11:30','23:45'], 'mar': ['11:30','23:45'], 'mer': ['11:30','23:45'], 'gio': ['11:30','23:45'], 'ven': ['11:30','23:45'], 'sab': ['11:30','23:45']}",€€-€€€,"['Serve alcolici','Posti a sedere','Servizio al tavolo','Prenotazioni','Accetta carte di credito','Seggioloni disponibili','Connessione Wi-Fi gratuita','Pagamenti digitali']",,"['Per vegetariani','Opzioni vegane']"
9,Lo Scopettaro,7.167867665803314,413,"Lungotevere Testaccio, 7, Roma Italia",+39 06 575 7912,"{'dom': ['12:30','15:30'], 'lun': ['12:30','15:30'], 'mar': ['12:30','15:30'], 'mer': ['12:30','15:30'], 'gio': ['12:30','15:30'], 'ven': ['12:30','15:30'], 'sab': ['12:30','15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere','Seggioloni disponibili','Serve alcolici','Accetta carte di credito','Servizio al tavolo']",,['Per vegetariani']
