,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,Trattoria Vecchia Roma,8.831785717682965,111,"Via Ferruccio, 12B/C, 00185 Roma Italia",,"{'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
1,La Fraschetta di Castel Sant'angelo,7.718731462658871,128,"Via del Banco di Santo Spirito 20, 00186 Roma Italia",+39 06 6830 7661,"{'lun': ['12:00', '23:00'], 'mar': ['12:00', '23:00'], 'mer': ['12:00', '23:00'], 'gio': ['12:00', '23:00'], 'ven': ['12:00', '23:00'], 'sab': ['12:00', '23:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","La Fraschetta è un posto del cuore, dove la tradizione romana regna sovrana. Siamo un gruppo di giovani appassionati al nostro lavoro, cerchiamo di far sentire a casa i nostri clienti deliziandoli con una cucina genuina.",['Per vegetariani']
2,Lo Scopettaro,7.20808446858594,109,"Lungotevere Testaccio, 7, Roma Italia",+39 06 575 7912,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
3,Nannarella,7.130805716444213,90,"Piazza di San Calisto 7, 7A, 00153 Roma Italia",+39 06 581 5378,"{'dom': ['11:30', '23:00'], 'lun': ['11:30', '23:30'], 'mar': ['11:30', '23:30'], 'mer': ['11:30', '23:30'], 'gio': ['11:30', '23:30'], 'ven': ['11:30', '0:00'], 'sab': ['11:30', '0:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Bar completo', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
4,Dar Bottarolo Conca d'Oro,6.883742309607731,62,"Via Val di Non 9, 00141 Roma Italia",+39 06 9293 9872,"{'dom': ['12:30', '14:45'], 'lun': ['12:30', '14:45'], 'mar': ['12:30', '14:45'], 'mer': ['12:30', '14:45'], 'gio': ['12:30', '14:45'], 'ven': ['12:30', '14:45'], 'sab': ['12:30', '14:45']}",€€-€€€,"['Da asporto', 'Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta carte di credito', 'Servizio al tavolo']","Dar Bottarolo Conca d'Oro, prova il nostro famoso menù senza fine con acqua e vino a volontà! Oppure scegli il menù alla carta. Ti Aspettiamo.",
5,Da Vittorio a Trastevere,6.733365518245465,58,"Via di S. Cosimato, 14 off Piazza San Callisto, 00153 Roma Italia",+39 06 580 0353,"{'dom': ['12:00', '15:00'], 'lun': ['12:00', '15:00'], 'mar': ['12:00', '15:00'], 'mer': ['12:00', '15:00'], 'gio': ['12:00', '15:00'], 'ven': ['12:00', '15:00'], 'sab': ['12:00', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani', 'Stile familiare']",,['Per vegetariani']
6,Marco Martini Restaurant Cocktail Bar,6.659819429748708,8,"Viale Aventino 121 Roma, 00153 Roma Italia",+39 06 4559 7350,"{'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Serve alcolici', 'Bar completo', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta Discover', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
7,Osteria Cacio e Pepe,6.579399046740893,50,"Vicolo dè Cinque, 15, 00153 Roma Italia",+39 06 8957 2853,"{'dom': ['11:00', '2:00'], 'lun': ['11:00', '0:00'], 'mar': ['11:00', '0:00'], 'mer': ['11:00', '0:00'], 'gio': ['11:00', '0:00'], 'ven': ['11:00', '2:00'], 'sab': ['11:00', '2:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Televisore', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani']","Cacio e Pepe è una osteria con cucina tipica romana nel cuore di Trastevere. All’osteria Cacio e Pepe vengono miscelati con sapienza e creatività elementi della tradizione culinaria romana e italiana, con le innovazioni tecniche e di gusto acquisite dopo anni di ristorazione in tutta Europa. Cortesia e simpatia sono altri ingredienti della ricetta che fa di Cacio e Pepe una delle realtà eno-gastronomiche più importanti di Trastevere. Nel menù del ristorante troverete tutte le tipiche pietanze romane, dalle paste più celebri come l’amatriciana, i tonnarelli cacio e pepe o la carbonara, fino agli abbacchi e alle ricette storiche: coda alla vaccinara, pollo con i peperoni, trippa, pajata… Provare per credere! Vi aspettiamo!",['Per vegetariani']
8,Antica Osteria Rugantino,6.572355176369025,81,"Via della Lungaretta 54, 00153 Roma Italia",+39 06 581 8517,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"[""Tavoli all'esterno"", 'Accetta carte di credito']",,['Per vegetariani']
9,Roscioli,6.548987841227528,36,"Via dei Giubbonari, 21, 00186 Roma Italia",+39 06 687 5287,,€€-€€€,"['Da asporto', 'Prenotazioni', 'Posti a sedere', 'Serve alcolici', 'Bar completo', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Accetta carte di credito', 'Servizio al tavolo']","Il Ristorante Salumeria Roscioli è una gastronomia polifunzionale, un ristorante atipico, un wine bar ricco e variegato, dove la cucina si basa sulla grande qualità della materia selezionata negli anni dai fratelli Roscioli e da uno staff attento e preparato. Il menù presenta primi e secondi piatti della tradizione e idee legate alla cucina nazionale, crudi di pesce del Mediterraneo e del Tirreno, selezioni di formaggi francesi o di Alpeggio della Penisola, suddivisi per tipologia e stagionatura, ma anche salumi spagnoli o di razza autoctona tagliati a mano.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
