,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,Felice a Testaccio Roma,8.781425785437524,366,"Via Mastro Giorgio 29, 00153 Roma Italia",+39 06 574 6800,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
1,Ristorante Roma Sparita,7.813843869198748,552,"Piazza di Santa Cecila, 24, 00153 Roma Italia",+39 06 4368 6914,"{'lun': ['19:30', '23:00'], 'mar': ['12:30', '14:30'], 'mer': ['12:30', '14:30'], 'gio': ['12:30', '14:30'], 'ven': ['12:30', '14:30'], 'sab': ['12:30', '14:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Accetta carte di credito', 'Servizio al tavolo']","La buona tavola è servita in un ambiente confortevole. Lo spazio esterno nella splendida piazza è davvero unico in tutta Roma e possono prendervi posto circa 90 persone. Gli ambienti interni sono due: la saletta d'ingresso, molto accogliente di circa 30/35 persone, e la sala più capiente che permette di accogliere altre 60 persone.","['Per vegetariani', 'Opzioni vegane']"
2,Osteria Cacio e Pepe,6.670676013410017,200,"Vicolo dè Cinque, 15, 00153 Roma Italia",+39 06 8957 2853,"{'dom': ['11:00', '2:00'], 'lun': ['11:00', '0:00'], 'mar': ['11:00', '0:00'], 'mer': ['11:00', '0:00'], 'gio': ['11:00', '0:00'], 'ven': ['11:00', '2:00'], 'sab': ['11:00', '2:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Televisore', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani']","Cacio e Pepe è una osteria con cucina tipica romana nel cuore di Trastevere. All’osteria Cacio e Pepe vengono miscelati con sapienza e creatività elementi della tradizione culinaria romana e italiana, con le innovazioni tecniche e di gusto acquisite dopo anni di ristorazione in tutta Europa. Cortesia e simpatia sono altri ingredienti della ricetta che fa di Cacio e Pepe una delle realtà eno-gastronomiche più importanti di Trastevere. Nel menù del ristorante troverete tutte le tipiche pietanze romane, dalle paste più celebri come l’amatriciana, i tonnarelli cacio e pepe o la carbonara, fino agli abbacchi e alle ricette storiche: coda alla vaccinara, pollo con i peperoni, trippa, pajata… Provare per credere! Vi aspettiamo!",['Per vegetariani']
3,Roscioli,6.243185070152092,119,"Via dei Giubbonari, 21, 00186 Roma Italia",+39 06 687 5287,,€€-€€€,"['Da asporto', 'Prenotazioni', 'Posti a sedere', 'Serve alcolici', 'Bar completo', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Accetta carte di credito', 'Servizio al tavolo']","Il Ristorante Salumeria Roscioli è una gastronomia polifunzionale, un ristorante atipico, un wine bar ricco e variegato, dove la cucina si basa sulla grande qualità della materia selezionata negli anni dai fratelli Roscioli e da uno staff attento e preparato. Il menù presenta primi e secondi piatti della tradizione e idee legate alla cucina nazionale, crudi di pesce del Mediterraneo e del Tirreno, selezioni di formaggi francesi o di Alpeggio della Penisola, suddivisi per tipologia e stagionatura, ma anche salumi spagnoli o di razza autoctona tagliati a mano.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
4,La Ciambella,6.22053650513625,15,"Via dell'Arco della Ciambella, 20, 00186 Roma Italia",+39 06 683 2930,"{'dom': ['12:00', '23:00'], 'lun': ['12:00', '23:00'], 'gio': ['12:00', '23:00'], 'ven': ['12:00', '23:00'], 'sab': ['12:00', '23:00']}",€€-€€€,"['Prenotazioni', 'Cena in sala privata', 'Posti a sedere', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani', 'Ristoranti non fumatori']","Una storia di bontà raccontata tutto il giorno. Dalla gastronomia salata, al pranzo veloce ma sempre espresso, fino alla cena, senza soluzione di continuità: un viaggio tra sapori rassicuranti e sorprendenti. E tutto con un filo conduttore: la materia prima.",
5,Flavio Al Velavevodetto,6.14514096865091,160,"Via di Monte Testaccio, 97/99, 00153 Roma Italia",+39 06 574 4194,"{'dom': ['12:30', '15:00'], 'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']","Flavio al Velavevodetto è un'osteria che si dedica alla preparazione di piatti tradizionali della cucina romana ma anche italiana. L'ambiente è confortevole e familiare ed è in grado di accogliere molta gente che ha voglia di stare un po' in compagnia ed ha voglia di mangiare e bere bene. Inoltre ha a sua disposizione un ampio spazio aperto al coperto, dove mangiare con serenità e tranquillità. Il menù varia con la reperibilità e la stagionalità degli ingredienti. Con la carne, genuina e biologica, proveniente da un'azienda agricola bio, lo chef prepara ottime specialità di carne, ma nel ricco menù trovano posto anche piatti a base di pesce, pasta fatta in casa e dolci artigianali. Flavio Velavevodetto si trova in via Monte Testaccio, 97 a Roma.",['Per vegetariani']
6,Su & Giu Cucina Romana,6.0471582351580055,113,"Via Tacito 42 Vicino Piazza Cola Di Rienzo, 00193 Roma Italia",+39 06 3265 0352,"{'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
7,La Fraschetta di Castel Sant'angelo,5.94837217247299,208,"Via del Banco di Santo Spirito 20, 00186 Roma Italia",+39 06 6830 7661,"{'lun': ['12:00', '23:00'], 'mar': ['12:00', '23:00'], 'mer': ['12:00', '23:00'], 'gio': ['12:00', '23:00'], 'ven': ['12:00', '23:00'], 'sab': ['12:00', '23:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","La Fraschetta è un posto del cuore, dove la tradizione romana regna sovrana. Siamo un gruppo di giovani appassionati al nostro lavoro, cerchiamo di far sentire a casa i nostri clienti deliziandoli con una cucina genuina.",['Per vegetariani']
8,Antica Osteria di Pietra,5.92937819349297,211,"Via di Pietra 88, 00186 Roma Italia",+39 06 3975 1564,,€€-€€€,"['Serve alcolici', 'Posti a sedere', 'Servizio al tavolo', 'Prenotazioni', 'Accetta carte di credito', 'Seggioloni disponibili', 'Connessione Wi-Fi gratuita', 'Pagamenti digitali']",,
9,Nannarella,5.905916818959992,168,"Piazza di San Calisto 7, 7A, 00153 Roma Italia",+39 06 581 5378,"{'dom': ['11:30', '23:00'], 'lun': ['11:30', '23:30'], 'mar': ['11:30', '23:30'], 'mer': ['11:30', '23:30'], 'gio': ['11:30', '23:30'], 'ven': ['11:30', '0:00'], 'sab': ['11:30', '0:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Bar completo', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
