,id,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,0,saltimbocca,8.4,78,"via di tor millina 5, 00186 Roma Italia",+39 06 683 2266,"{'dom': ['10:00', '1:00'], 'lun': ['10:00', '1:00'], 'mar': ['10:00', '1:00'], 'mer': ['10:00', '1:00'], 'gio': ['10:00', '1:00'], 'ven': ['10:00', '1:00'], 'sab': ['10:00', '1:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Televisore', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Bar completo', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",Cucina tradizionali italiana e romana,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
1,1,La Fraschetta di Castel Sant'angelo,7.8,64,"Via del Banco di Santo Spirito 20, 00186 Roma Italia",+39 06 6830 7661,"{'lun': ['12:00', '23:00'], 'mar': ['12:00', '23:00'], 'mer': ['12:00', '23:00'], 'gio': ['12:00', '23:00'], 'ven': ['12:00', '23:00'], 'sab': ['12:00', '23:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","La Fraschetta è un posto del cuore, dove la tradizione romana regna sovrana. Siamo un gruppo di giovani appassionati al nostro lavoro, cerchiamo di far sentire a casa i nostri clienti deliziandoli con una cucina genuina.",['Per vegetariani']
2,2,Piccolo Arancio,7.4,58,"Vicolo Scanderbeg 112 Fontana Di Trevi, 00187 Roma Italia",+39 06 678 6139,"{'dom': ['12:00', '15:30'], 'mar': ['12:00', '15:30'], 'mer': ['12:00', '15:30'], 'gio': ['12:00', '15:30'], 'ven': ['12:00', '15:30'], 'sab': ['12:00', '15:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Posizionato tra il Quirinale e Fontana di Trevi, è un locale accogliente con una lunga tradizione di famiglia, che ha conservato la cura e l’amore per i piatti tipici della cucina romana, rivisitandoli e riproponendoli in chiave moderna.","['Per vegetariani', 'Opzioni vegane']"
3,3,Virginiae,7.2,47,"Via di Parione 41, 00186 Roma Italia",+39 06 8901 7261,"{'dom': ['11:30', '15:00'], 'lun': ['11:30', '15:00'], 'mar': ['11:30', '15:00'], 'mer': ['11:30', '15:00'], 'gio': ['11:30', '15:00'], 'ven': ['11:30', '15:00'], 'sab': ['11:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Posizionato in Via di Parione 41, a due passi da Piazza Navona, il ristorante e’ sintesi di tradizione e innovazione attraverso sapori autentici, ricette antiche e piatti che non dimenticano la tradizione del territorio locale e nazionale. La nostra lunga esperienza in attività di ristorazione al Centro Storico, sono i proprietari e responsabili del ristorante. Bernardo De Luca è anche lo Chef che ogni giorno prepara con passione e creatività i piatti tipici della cucina romana. Materie prime selezionate con scrupolosità vengono fatte arrivare fresche ogni mattina. Il ristorante Virginiae vi aspetta a pranzo e cena per farvi conoscere la propria la cucina. Chiusi per ferie dal 16 al 29 Gennaio 2018.",
4,4,Da Armando al Pantheon,7.0,36,"Salita De' Crescenzi 31, 00186 Roma Italia",+39 06 6880 3034,"{'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",This italian and familyrun restaurant is excellent and has been there for decades,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
5,5,Poldo e Gianna Osteria,6.9,45,"Vicolo Rosini 6/7, 00186 Roma Italia",+39 06 689 3499,"{'dom': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Ammette i cani']","Una cucina semplice, alla ricerca di sapori genuini ormai dimenticati. L'utilizzo di materie prime ed alimenti ricercati nel rispetto della loro stagionalità. Far rivivere i piatti della tradizione della nostra Regione. Una cucina che si pone come obiettivo il rispetto dei prodotti, dei produttori, dell'ambiente e dei nostri ospiti.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
6,6,Felice a Testaccio Roma,6.8,28,"Via Mastro Giorgio 29, 00153 Roma Italia",+39 06 574 6800,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
7,7,Il Duca in Trastevere,6.6,43,"Vicolo Dé Cinque, 56, 00153 Roma Italia",+39 06 581 7706,"{'dom': ['12:30', '16:15'], 'mar': ['18:30', '0:00'], 'mer': ['12:30', '15:30'], 'gio': ['18:30', '0:00'], 'ven': ['18:30', '0:00'], 'sab': ['18:30', '0:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Al ristorante Il Duca in Trastevere potrete gustare squisiti piatti, tipici della tradizione romana realizzati con ingredienti di primissima qualità come il pecorino romano stagionato DOP, i carciofi freschi, il guanciale di Amatrice, e molto altro ancora, il tutto condito esclusivamente con lolio extravergine del Frantoio Cimini. Richiestissimi i taglieri di salumi artigianali marchigiani e il crudo di Sauris accompagnati dal prelibato pane artigianale di Pasta Madre ""Grande Impero"", con oltre 30 ore di lievitazione naturale. Tra le specialità proposte la carbonara, la carne alla griglia, gli abbacchi, la pasta fresca fatta a mano ogni giorni e, per i più golosi, prelibati dolci e biscotti preparati dallo chef.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
8,8,CiPASSO,6.5,25,"Via Metastasio 21, 00186 Roma Italia",+39 06 6889 2620,"{'dom': ['12:00', '15:30'], 'lun': ['18:00', '23:00'], 'mar': ['18:00', '23:00'], 'mer': ['18:00', '23:00'], 'gio': ['18:00', '23:00'], 'ven': ['18:00', '23:00'], 'sab': ['12:00', '15:30']}",€€€€,"['Posti a sedere', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Vieni da CiPASSO per un'esperienza memorabile nel cuore di Roma. La nostra cucina contemporanea si ispira alle radici romane, creando sapori unici. Scopri la nostra selezione di vini dove ogni bottiglia racconta una storia, perfetta per accompagnare i piatti creati dallo chef Adriano de Angelis. Premiati da Michelin e Tripadvisor, ci impegniamo a garantirti una serata unica. E se per qualche motivo non sei completamente soddisfatto, ci prendiamo cura di te con la nostra promessa di soddisfazione garantita.","['Per vegetariani', 'Opzioni senza glutine']"
9,9,Otello,6.5,36,"Via della Pelliccia 47/53 Trastevere, 00153 Roma Italia",+39 06 589 6848,"{'dom': ['11:30', '23:00'], 'lun': ['11:30', '23:30'], 'mar': ['11:30', '23:30'], 'mer': ['11:30', '23:30'], 'gio': ['11:30', '23:30'], 'ven': ['11:30', '0:00'], 'sab': ['11:30', '0:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Bar completo', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",Ristorante tipico Romano a Trastevere,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
