,Unnamed: 0,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,0,Achille al Pantheon,8.6,85,"Via Dei Pastini 120, 00186 Roma Italia",+39 06 678 1983,"{'dom': ['11:00', '00:00'], 'lun': ['11:00', '00:00'], 'mar': ['11:00', '00:00'], 'mer': ['11:00', '00:00'], 'gio': ['11:00', '00:00'], 'ven': ['11:00', '00:00'], 'sab': ['11:00', '00:00']}",€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Televisore', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Bar completo', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
1,1,Flavio Al Velavevodetto,8.0,46,"Via di Monte Testaccio, 97/99, 00153 Roma Italia",+39 06 574 4194,"{'dom': ['12:30', '15:00'], 'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']","Flavio al Velavevodetto è un'osteria che si dedica alla preparazione di piatti tradizionali della cucina romana ma anche italiana. L'ambiente è confortevole e familiare ed è in grado di accogliere molta gente che ha voglia di stare un po' in compagnia ed ha voglia di mangiare e bere bene. Inoltre ha a sua disposizione un ampio spazio aperto al coperto, dove mangiare con serenità e tranquillità. Il menù varia con la reperibilità e la stagionalità degli ingredienti. Con la carne, genuina e biologica, proveniente da un'azienda agricola bio, lo chef prepara ottime specialità di carne, ma nel ricco menù trovano posto anche piatti a base di pesce, pasta fatta in casa e dolci artigianali. Flavio Velavevodetto si trova in via Monte Testaccio, 97 a Roma.",['Per vegetariani']
2,2,I Vaccinari,8.0,65,"Via Della Madonna dei Monti, 55, 00184 Roma Italia",+39 06 7978 6269,"{'dom': ['12:00', '15:00'], 'lun': ['12:00', '15:00'], 'mar': ['12:00', '15:00'], 'mer': ['12:00', '15:00'], 'gio': ['12:00', '15:00'], 'ven': ['12:00', '15:00'], 'sab': ['12:00', '15:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Televisore', 'Seggioloni disponibili', 'Serve alcolici', 'Bar completo', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Solo contanti', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo', 'Diritto di tappo', 'Ammette i cani', 'Stile familiare']",Trattoria Pizzeria I Vaccinari Cucina e Tradizione Romanesca,
3,3,Lo Scopettaro,8.0,77,"Lungotevere Testaccio, 7, Roma Italia",+39 06 575 7912,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
4,4,SantoPalato,8.0,36,"Piazza Tarquinia 4a/b, 00153 Roma Italia",+39 06 7720 7354,"{'dom': ['12:30', '15:00'], 'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Servizio al tavolo']","Trattoria moderna a due passi da san Giovanni e Re di Roma, riscopre i gusti e i sapori della cucina romana attraverso i piatti della tradizione.",
5,5,Sora Lella,7.8,37,"Via Ponte Quattro Capi 16 ISOLA TIBERINA, 00186 Roma Italia",+39 06 0316 4414,"{'lun': ['19:30', '22:45'], 'mar': ['19:30', '22:45'], 'mer': ['19:30', '22:45'], 'gio': ['19:30', '22:45'], 'ven': ['19:30', '22:45'], 'sab': ['19:30', '22:45']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni senza glutine']"
6,6,Osteria da Fortunata - Pellegrino,7.6,66,"Via del Pellegrino, 11 Campo de' Fiori, 00186 Roma Italia",+39 06 6066 7391,"{'dom': ['12:00', '0:00'], 'lun': ['12:00', '0:00'], 'mar': ['12:00', '0:00'], 'mer': ['12:00', '0:00'], 'gio': ['12:00', '0:00'], 'ven': ['12:00', '0:00'], 'sab': ['12:00', '0:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
7,7,Checchino dal 1887,7.5,27,"Via di Monte Testaccio, 30, 00153 Roma Italia",+39065743816,"{'dom': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']","Il nostro ristorante di Roma offre la tipica cucina locale del quartiere Testaccio, con piatti della tradizione sia regionale che italiana, valorizzati da vini laziali. Troverete una selezione di più di 450 vini provenienti da Italia, Francia, California, spagna, Portogallo, Austria, Germania, Cile, Nuova Zelanda e Australia, in prevalenza vini rossi, in quanto la cucina si presta maggiormente all'abbinamento con questi ultimi; ampia selezione di mezze bottiglie di vini di qualità. La carta dei distillati, con ampia selezione italiana, presenta annate eccezionali di whisky, cognac, CALVADOS, BAS ARMAGNAC e rhum, proponendo quotidianamente la degustazione di particolari vini al bicchiere. La selezione ed il servizio sono affidati ai titolari, entrambi sommelier. Carrello dei formaggi con circa 20 tipologie.",
8,8,La Gattabuia,7.4,59,"Via del Porto 1, 00153 Roma Italia",+39 06 584813,"{'dom': ['12:30', '15:15'], 'lun': ['19:00', '23:45'], 'mar': ['19:00', '23:45'], 'mer': ['19:00', '23:45'], 'gio': ['19:00', '23:45'], 'ven': ['19:00', '23:45'], 'sab': ['19:00', '23:45']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Situato nel cuore della vecchia Trastevere in una splendida taverna seicentesca La Gattabuia è un locale che si articola su tre sale tutte con volte, archi e mattoncini in cotto. La cura dell'arredamento, ricco di mobili d'epoca e oggetti antichi rende il locale accogliente e raffinato. Fra i tipici ristoranti trasteverini, La Gattabuia è sicuramente uno dei più famosi, situato tra vicoletti e piazzette di Trastevere, è facilmente raggiungibile. Il ristorante è stato ricavato dalle mura di un antico carcere dell'era papalina. L'ambiente è gradevole i colori naturali e riposanti. Ottimo il servizio che non ha nulla da invidiare ad un ristorante di lusso. I tavoli sono ben separati tra di loro, il menu è molto vario e sopratutto il menu è sempre giusto... insomma, una serata alla Gattabuia rimane sempre notevolmente impressa e quando ci pensi non vedi l'ora di tornarci. La cucina spazia da gustosissimi antipasti, fritti vegetali, grigliate di verdure, piatti tipici romani come carbonara, gricia, amatriciana, cacio e pepe, alle proposte dello chef, come gnocchetti al lardo di colonnata e patè di zucchine, strozzapreti funghi porcini e tartufo e rigatoni al sugo di coda. Eccezionali le carni alla griglia di provenienza argentina e danese, tagliate, filetti, grigliate e bistecche a peso. Ottima la trippa alla romana, la coda alla vaccinara e la coratella d'agnello. Le pizze in tutti i modi, rigorosamente cotte in un magnifico forno a legna. La cantina presenta una vasta ed accurata selezione di vini rossi suddivisi per regione con la particolarità di avere oltre ottanta etichette di vini laziali.","['Per vegetariani', 'Opzioni senza glutine']"
9,9,Antica Hostaria Romanesca,7.3,61,"Piazza Campo De' Fiori 40, 00186 Roma Italia",+39 06 686 4024,"{'dom': ['11:30', '15:00'], 'lun': ['11:30', '15:00'], 'mar': ['11:30', '15:00'], 'mer': ['11:30', '15:00'], 'gio': ['11:30', '15:00'], 'ven': ['11:30', '15:00'], 'sab': ['11:30', '15:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Solo contanti', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni senza glutine']"
