,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,Felice a Testaccio Roma,8.182043105939186,74,"Via Mastro Giorgio 29, 00153 Roma Italia",+39 06 574 6800,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
1,Lo Scopettaro,6.807307611783675,77,"Lungotevere Testaccio, 7, Roma Italia",+39 06 575 7912,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
2,Zampagna,6.46295567563742,56,"Via Ostiense 179, 00135 Roma Italia",+39 06 574 2306,"{'dom': ['12:00', '16:00'], 'lun': ['12:00', '16:00'], 'mar': ['12:00', '16:00'], 'mer': ['12:00', '16:00'], 'gio': ['12:00', '16:00'], 'ven': ['12:00', '16:00'], 'sab': ['12:00', '16:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
3,Matricianella,6.432366756077958,38,"Via del Leone 4, 00186 Roma Italia",+39 06 683 2100,"{'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Accetta carte di credito', 'Servizio al tavolo']",Cucina Tipica Romana. chiuso per ferie fino al 30 Agosto,['Per vegetariani']
4,La Fraschetta di Castel Sant'angelo,6.267972096560367,55,"Via del Banco di Santo Spirito 20, 00186 Roma Italia",+39 06 6830 7661,"{'lun': ['12:00', '23:00'], 'mar': ['12:00', '23:00'], 'mer': ['12:00', '23:00'], 'gio': ['12:00', '23:00'], 'ven': ['12:00', '23:00'], 'sab': ['12:00', '23:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","La Fraschetta è un posto del cuore, dove la tradizione romana regna sovrana. Siamo un gruppo di giovani appassionati al nostro lavoro, cerchiamo di far sentire a casa i nostri clienti deliziandoli con una cucina genuina.",['Per vegetariani']
5,Otello,6.256408961625752,43,"Via della Pelliccia 47/53 Trastevere, 00153 Roma Italia",+39 06 589 6848,"{'dom': ['11:30', '23:00'], 'lun': ['11:30', '23:30'], 'mar': ['11:30', '23:30'], 'mer': ['11:30', '23:30'], 'gio': ['11:30', '23:30'], 'ven': ['11:30', '0:00'], 'sab': ['11:30', '0:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Bar completo', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",Ristorante tipico Romano a Trastevere,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
6,Achille al Pantheon,6.163929981931399,45,"Via Dei Pastini 120, 00186 Roma Italia",+39 06 678 1983,"{'dom': ['11:00', '00:00'], 'lun': ['11:00', '00:00'], 'mar': ['11:00', '00:00'], 'mer': ['11:00', '00:00'], 'gio': ['11:00', '00:00'], 'ven': ['11:00', '00:00'], 'sab': ['11:00', '00:00']}",€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Televisore', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Bar completo', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
7,Il Duca in Trastevere,6.1015997003803735,47,"Vicolo Dé Cinque, 56, 00153 Roma Italia",+39 06 581 7706,"{'dom': ['12:30', '16:15'], 'mar': ['18:30', '0:00'], 'mer': ['12:30', '15:30'], 'gio': ['18:30', '0:00'], 'ven': ['18:30', '0:00'], 'sab': ['18:30', '0:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Al ristorante Il Duca in Trastevere potrete gustare squisiti piatti, tipici della tradizione romana realizzati con ingredienti di primissima qualità come il pecorino romano stagionato DOP, i carciofi freschi, il guanciale di Amatrice, e molto altro ancora, il tutto condito esclusivamente con lolio extravergine del Frantoio Cimini. Richiestissimi i taglieri di salumi artigianali marchigiani e il crudo di Sauris accompagnati dal prelibato pane artigianale di Pasta Madre ""Grande Impero"", con oltre 30 ore di lievitazione naturale. Tra le specialità proposte la carbonara, la carne alla griglia, gli abbacchi, la pasta fresca fatta a mano ogni giorni e, per i più golosi, prelibati dolci e biscotti preparati dallo chef.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
8,La Taverna dei Monti,6.060246707947638,42,"Via del Boschetto 41, 00184 Roma Italia",+39 06 481 7724,"{'dom': ['12:00', '15:00'], 'lun': ['12:00', '15:00'], 'mar': ['12:00', '15:00'], 'mer': ['12:00', '15:00'], 'gio': ['12:00', '15:00'], 'ven': ['12:00', '15:00'], 'sab': ['12:00', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Buffet', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Bar completo', 'Accetta Mastercard', 'Accetta Visa', 'Solo contanti', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Struttura classica con circa 80 posti all' interno e 15 all' esterno. Doppio bagno, cucina italiana romana in particolare e pesce. Selezione di vini italiani e bar. Dolci fatti in casa.","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
9,Pecorino,5.994730201724924,46,"via Galvani 64, Roma Italia",+39 06 5725 0539,"{'dom': ['12:30', '14:30'], 'mar': ['12:30', '14:30'], 'mer': ['12:30', '14:30'], 'gio': ['12:30', '14:30'], 'ven': ['12:30', '14:30'], 'sab': ['12:30', '14:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
