,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,Supplizio,8.737062277457687,617,"Via dei Banchi Vecchi 143, 00186 Roma Italia",+39 06 8987 1920,"{'lun': ['12:00', '15:00'], 'mar': ['12:00', '15:00'], 'mer': ['12:00', '15:00'], 'gio': ['12:00', '15:00'], 'ven': ['12:00', '15:00'], 'sab': ['12:00', '15:00']}",€,"['Da asporto', 'Posti a sedere', 'Accetta carte di credito', 'Servizio al tavolo']","Il Supplì e lo Street Food di Chef Arcangelo Dandini Supplì, crocchette, polpette, crema fritta e molto altro.",
1,Seu Pizza Illuminati,7.738636137611341,159,"Via Angelo Bargoni 10 - 18, 00153 Roma Italia",+39 06 588 3384,"{'dom': ['19:00', '0:00'], 'lun': ['19:00', '0:00'], 'mer': ['19:00', '0:00'], 'gio': ['19:00', '0:00'], 'ven': ['19:00', '0:00'], 'sab': ['12:00', '15:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Casual, stilish pizzeria just minutes away from Trastevere in a quite street with parking space. Amazing pizzas from award winner Pier Daniele Seu, nice fried starters from Roman and Neapolitan tradition and yummy desserts.","['Per vegetariani', 'Opzioni vegane']"
2,180g Pizzeria Romana,7.191060198182578,142,"Via Tor De' Schiavi 53, 00172 Roma Italia",+39 391 144 6575,"{'dom': ['18:45', '22:00'], 'lun': ['18:45', '22:00'], 'mer': ['18:45', '22:00'], 'gio': ['18:45', '22:00'], 'ven': ['18:45', '22:00'], 'sab': ['18:45', '22:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', 'Parcheggio in strada', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Ammette i cani']",,"['Per vegetariani', 'Opzioni vegane']"
3,Trapizzino Trilussa,6.872251319086905,312,"Piazza Trilussa 46, 00153 Roma Italia",+39 06 581 7312,"{'dom': ['12:00', '23:45'], 'lun': ['12:00', '23:45'], 'mar': ['12:00', '23:45'], 'mer': ['12:00', '23:45'], 'gio': ['12:00', '23:45'], 'ven': ['12:00', '23:45'], 'sab': ['12:00', '23:45']}",€,"['Da asporto', 'Posti a sedere', 'Parcheggio in strada', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Bar completo', 'Vino e birra', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Trapizzino Trastevere è anche enoteca e vineria. Potrete trovare il Trapizzino, uno degli street food più in voga in Italia, con sedi a Roma, Milano, Firenze e New York. Inventato 10 anni fa da Stefano Callegari, pizzaiolo di professione, è una tasca di pizza bianca a triangolo chiusa sui lati e realizzata con lo stesso impasto di farina di grano tenero e lievito, farcito con i condimenti simbolo della gastronomia capitolina e di altre cucine, anche internazionali. Dalla lingua in salsa verde alla coda alla vaccinara, dalle polpette al sugo allo zighinì, dal picchiapò alla trippa alla romana... e ancora di più.",['Per vegetariani']
4,L’Elementare Trastevere,6.333417796090086,229,"Via Benedetta 23, 00153 Roma Italia",+39 06 589 4016,"{'dom': ['12:00', '1:00'], 'lun': ['18:00', '1:00'], 'mar': ['12:00', '1:00'], 'mer': ['12:00', '1:00'], 'gio': ['12:00', '1:00'], 'ven': ['12:00', '2:00'], 'sab': ['12:00', '2:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', 'Posti a sedere', 'Serve alcolici', 'Servizio al tavolo']","Pizzeria Romana al Mattarello, quality fried food. Wide selection of craft beers with particular attention to the local production of small breweries. Selection of cold cuts and cheeses from Lazio and other artisans and a small list of Natural wines. Selection of Gin & Tonics to compose your perfect Gin Tonic. Vintage beers","['Per vegetariani', 'Opzioni vegane']"
5,Pinsitaly Trevi,6.201151978371644,163,"Via della Panetteria 12, 00187 Roma Italia",+39 06 275 3973,"{'dom': ['10:30', '23:00'], 'lun': ['10:30', '22:30'], 'mar': ['10:30', '22:30'], 'mer': ['10:30', '22:30'], 'gio': ['10:30', '22:30'], 'ven': ['10:30', '23:00'], 'sab': ['10:30', '23:00']}",€,"['Consegna a domicilio', 'Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Pagamenti digitali', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Ammette i cani']","Luogo accogliente e ordinato dove gustare l'unica pinsa romana originale nella sua fragranza e digeribilità nella magica atmosfera romana, a soli 100 m dalla magnifica Fontana di Trevi","['Per vegetariani', 'Opzioni vegane']"
6,Popeye Pizza,6.163331737845107,208,"Via della Giuliana 55, 00195 Roma Italia",+39 06 3973 3275,"{'dom': ['12:00', '23:45'], 'lun': ['10:00', '23:45'], 'mar': ['10:00', '23:45'], 'mer': ['10:00', '23:45'], 'gio': ['10:00', '23:45'], 'ven': ['10:00', '23:45'], 'sab': ['12:00', '23:45']}",€,"['Consegna a domicilio', 'Da asporto', 'Posti a sedere', 'Televisore', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito']","Popeye è una pizzeria e rosticceria nella storica via Della Giuliana nel cuore di Roma. Prepara Pizze alla Romana gustose e fantasiose, pizze tonde e altri piatti tipici della gastronomia italiana con ingredienti locali e genuini. Il tutto è condito da un ambiente giovanile con personale disponibile e sensibile ai bisogni del cliente.","['Per vegetariani', 'Opzioni vegane']"
7,Sant'Isidoro Pizza & Bolle,5.86788177285751,62,"Via Oslavia, 41, 00195 Roma Italia",+39 06 8982 2607,"{'dom': ['12:30', '15:00'], 'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Serve alcolici', 'Servizio al tavolo']",,['Per vegetariani']
8,I Suppli dei Coronari,5.859946374404979,60,"Via Dei Coronari 25, 00186 Roma Italia",+39 06 9893 2195,"{'dom': ['11:30', '21:30'], 'lun': ['11:30', '21:30'], 'mar': ['11:30', '21:30'], 'mer': ['11:30', '21:30'], 'gio': ['11:30', '21:30'], 'ven': ['11:30', '21:30'], 'sab': ['11:30', '21:30']}",€,"['Consegna a domicilio', 'Da asporto', 'Posti a sedere', 'Serve alcolici', 'Servizio al tavolo']",,['Per vegetariani']
9,Sbanco,5.840575172271912,75,"Via Siria, 1, 00183 Roma Italia",+39 06 789318,"{'dom': ['19:30', '23:00'], 'mar': ['19:30', '23:00'], 'mer': ['19:30', '23:00'], 'gio': ['19:30', '23:00'], 'ven': ['19:30', '23:30'], 'sab': ['19:30', '23:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Televisore', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni vegane']"
