,name,CraveIt_score,N_5_stars,address,tel,hours,price_range,features,description,diet_details
0,Lo Scopettaro,7.966319500080115,44,"Lungotevere Testaccio, 7, Roma Italia",+39 06 575 7912,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
1,Le Tavernelle,7.604603076923078,43,"Via Panisperna, 48, Roma Italia",+39 06 474 0724,"{'dom': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta Mastercard', 'Accetta Visa', 'Accetta carte di credito', 'Servizio al tavolo']","Antica Trattoria nel cuore del famoso Rione Monti, sulla storica Via Panisperna, vicino al Colosseo. Specialità romane, di carne, pesce, no pizza. Ambiente climatizzato, wifi gratuito, piccoli animali ammessi, non adatto a disabili. Parcheggiando negli appositi spazi blu su tutta la via e intorno, si può raggiungere a piedi facendo una passeggiata tra le suggestive strade del centro di Roma. Metro A Cavour. Famoso dolce della casa: La Dolcevita, dedicato a Fellini, intollerante all'uovo. Si tratta, infatti, di una ""speciale panna cotta""...","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
2,Felice a Testaccio Roma,7.583876225820504,29,"Via Mastro Giorgio 29, 00153 Roma Italia",+39 06 574 6800,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta carte di credito', 'Servizio al tavolo']",,['Per vegetariani']
3,Antica Hostaria Romanesca,7.511427514792899,45,"Piazza Campo De' Fiori 40, 00186 Roma Italia",+39 06 686 4024,"{'dom': ['11:30', '15:00'], 'lun': ['11:30', '15:00'], 'mar': ['11:30', '15:00'], 'mer': ['11:30', '15:00'], 'gio': ['11:30', '15:00'], 'ven': ['11:30', '15:00'], 'sab': ['11:30', '15:00']}",€€-€€€,"['Da asporto', 'Prenotazioni', 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Pagamenti digitali', 'Solo contanti', 'Accetta carte di credito', 'Servizio al tavolo']",,"['Per vegetariani', 'Opzioni senza glutine']"
4,Hosteria Romana,7.45653371320038,44,"Via del Boccaccio, 1 Corner Of Via Rasella, 00187 Roma Italia",+39 06 474 5284,,€€-€€€,"['Prenotazioni', 'Posti a sedere', 'Parcheggio in strada', 'Seggioloni disponibili', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Accetta carte di credito', 'Servizio al tavolo', 'Stile familiare', 'Ristoranti non fumatori']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
5,Trattoria Vaticano Giggi,7.425676944984526,44,"Via Catone 10 Angolo Piazza Risorgimento-Vaticano, 00192 Roma Italia",+39 06 3973 0551,"{'dom': ['12:30', '15:30'], 'lun': ['12:30', '15:30'], 'mar': ['12:30', '15:30'], 'mer': ['12:30', '15:30'], 'gio': ['12:30', '15:30'], 'ven': ['12:30', '15:30'], 'sab': ['12:30', '15:30']}",€€-€€€,"['Da asporto', 'Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Parcheggio in strada', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta Mastercard', 'Accetta Visa', 'Accetta carte di credito', 'Servizio al tavolo', 'Buoni regalo disponibili']","Cucina tipica romana con piatti tipici della tradizione. Bucatini all'amatriciana, Spaghetti alla carbonara, Tonnarelli Cacio e pepe, Spaghetti alla Gricia de Giggi, e ancora Arrosto di maialino porchettato, Trippa alla romana, Fagioli con le cotiche, Carciofi alla romana, Frittata di patate e cipolla senza uovo, Tiramisù della casa, Crostata di visciole!","['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
6,Ristorante Da Massi,7.255551566951566,42,"Via Della Scala, 34/A, 00153 Roma Italia",+39 06 5833 3868,,€€-€€€,"['Serve alcolici', 'Posti a sedere', 'Servizio al tavolo', 'Prenotazioni', 'Accetta carte di credito', 'Seggioloni disponibili', 'Connessione Wi-Fi gratuita', 'Pagamenti digitali']",,"['Per vegetariani', 'Opzioni vegane', 'Opzioni senza glutine']"
7,Virginiae,7.032692307692307,36,"Via di Parione 41, 00186 Roma Italia",+39 06 8901 7261,"{'dom': ['11:30', '15:00'], 'lun': ['11:30', '15:00'], 'mar': ['11:30', '15:00'], 'mer': ['11:30', '15:00'], 'gio': ['11:30', '15:00'], 'ven': ['11:30', '15:00'], 'sab': ['11:30', '15:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Posti a sedere', 'Seggioloni disponibili', 'Accessibile in sedia a rotelle', 'Serve alcolici', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Posizionato in Via di Parione 41, a due passi da Piazza Navona, il ristorante e’ sintesi di tradizione e innovazione attraverso sapori autentici, ricette antiche e piatti che non dimenticano la tradizione del territorio locale e nazionale. La nostra lunga esperienza in attività di ristorazione al Centro Storico, sono i proprietari e responsabili del ristorante. Bernardo De Luca è anche lo Chef che ogni giorno prepara con passione e creatività i piatti tipici della cucina romana. Materie prime selezionate con scrupolosità vengono fatte arrivare fresche ogni mattina. Il ristorante Virginiae vi aspetta a pranzo e cena per farvi conoscere la propria la cucina. Chiusi per ferie dal 16 al 29 Gennaio 2018.",
8,Taverna Romana,6.945325443786983,35,"Via della Madonna Dei Monti 79, 00184 Roma Italia",+39 06 474 5325,"{'dom': ['12:30', '15:00'], 'lun': ['12:30', '15:00'], 'mar': ['12:30', '15:00'], 'mer': ['12:30', '15:00'], 'gio': ['12:30', '15:00'], 'ven': ['12:30', '15:00'], 'sab': ['12:30', '15:00']}",€€-€€€,"['Serve alcolici', 'Posti a sedere', 'Servizio al tavolo', 'Prenotazioni', 'Accetta carte di credito', 'Seggioloni disponibili', 'Connessione Wi-Fi gratuita', 'Pagamenti digitali']",,['Per vegetariani']
9,Ristorante Arlù,6.580672325721153,30,"Borgo Pio, 135, 00193 Roma Italia",+39 06 686 8936,"{'lun': ['11:30', '22:00'], 'mar': ['11:00', '22:00'], 'mer': ['11:00', '22:00'], 'gio': ['11:00', '22:00'], 'ven': ['11:00', '22:00'], 'sab': ['11:00', '22:00']}",€€-€€€,"['Prenotazioni', ""Tavoli all'esterno"", 'Cena in sala privata', 'Posti a sedere', 'Serve alcolici', 'Vino e birra', 'Accetta American Express', 'Accetta Mastercard', 'Accetta Visa', 'Connessione Wi-Fi gratuita', 'Accetta carte di credito', 'Servizio al tavolo']","Arlù nasce nel 1959 grazie alla passione per la cucina, che si è tramandata di generazione in generazione fino ad oggi. Abbiamo mantenuto inalterati nel tempo antichi sapori, riscoprendo innovativi abbinamenti. Arlù vi accoglie in unatmosfera calda e accogliente, resa suggestiva dalleleganza e dalla raffinata selezione di ogni dettaglio. I nostri piatti vengono preparati con cura, utilizzando ingredienti di stagione selezionati. Il Ristorante è suddiviso in 3 zone: una sala principale con la cucina a vista; una sala privata intima e riservata; uno spazio esterno adiacente al ristorante. I nostri menù prevedono i piatti tipici della cucina romana come la Carbonara, la Cacio e Pepe, lAmatriciana. I secondi sono sia a base di carne che di pesce come saltimbocca alla romana o il filetto di spigola. E poi una ampia scelta di insalate e contorni. Per concludere, i nostri dolci che vengono realizzati con cura, accostando alla tradizione anche un po di fantasia, senza uso di conservanti.",
