,langid,avg_price_range,count_reviews,language
45,no,1.9852255054432348,1286,Norwegian
11,da,1.970159151193634,1508,Danish
14,en,1.9631339858567882,106765,English
31,ja,1.9602803738317758,856,Japanese
30,it,1.9525284181615845,322593,Italian
51,ru,1.938039990125895,4051,Russian
57,sv,1.9379398592450416,1563,Swedish
43,nl,1.9251325989392085,4902,Dutch
66,zh,1.9248927038626609,466,Chinese
23,he,1.924342105263158,608,Hebrew
48,pt,1.923376062220942,6943,Portuguese
12,de,1.9214551015949313,9154,German
53,sk,1.9113924050632911,79,Slovak
21,fr,1.901488450671405,34331,French
24,hr,1.8953488372093024,86,Croatian
20,fi,1.886255924170616,211,Finnish
35,ko,1.8854166666666667,384,Korean
3,ar,1.8846153846153846,78,Arabic
13,el,1.8822418136020151,1588,Greek
61,tr,1.8357400722021662,554,Turkish
10,cs,1.8349056603773586,212,Czech
16,es,1.815148045149681,24452,Spanish
26,hu,1.7566666666666666,300,Hungarian
47,pl,1.725818181818182,1375,Polish
